"","week","price","cartel","quantity","seas1","seas2","seas3","seas4","seas5","seas6","seas7","seas8","seas9","seas10","seas11","seas12","ice"
"18",18,0.300000011920929,"Cartel",11944,"0","0","0","0","1","0","0","0","0","0","0","0","Clear Shipping Lanes"
"19",19,0.300000011920929,"Cartel",10658,"0","0","0","0","1","0","0","0","0","0","0","0","Clear Shipping Lanes"
"20",20,0.300000011920929,"Cartel",9756,"0","0","0","0","1","0","0","0","0","0","0","0","Clear Shipping Lanes"
"21",21,0.300000011920929,"Cartel",9546,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"22",22,0.300000011920929,"Cartel",16713,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"23",23,0.300000011920929,"Cartel",16389,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"24",24,0.300000011920929,"Cartel",23179,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"25",25,0.300000011920929,"Cartel",34999,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"26",26,0.300000011920929,"Cartel",35267,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"27",27,0.300000011920929,"Cartel",20402,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"28",28,0.300000011920929,"Cartel",21020,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"29",29,0.300000011920929,"Cartel",16612,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"30",30,0.300000011920929,"Cartel",14834,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"31",31,0.300000011920929,"Cartel",11149,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"32",32,0.300000011920929,"Cartel",16035,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"33",33,0.300000011920929,"Cartel",18555,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"34",34,0.300000011920929,"Cartel",17413,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"35",35,0.300000011920929,"Cartel",19412,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"36",36,0.300000011920929,"Cartel",20240,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"37",37,0.300000011920929,"Cartel",11824,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"38",38,0.300000011920929,"Cartel",17793,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"39",39,0.300000011920929,"Cartel",20157,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"40",40,0.300000011920929,"Cartel",18623,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"41",41,0.300000011920929,"Cartel",19062,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"42",42,0.300000011920929,"Cartel",20840,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"43",43,0.300000011920929,"Cartel",18972,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"44",44,0.300000011920929,"Cartel",19690,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"45",45,0.300000011920929,"Cartel",20206,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"46",46,0.300000011920929,"Cartel",23081,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"47",47,0.300000011920929,"Cartel",21209,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"48",48,0.349999994039536,"Cartel",13753,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"49",49,0.349999994039536,"Cartel",14956,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"50",50,0.349999994039536,"Cartel",13295,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"51",51,0.349999994039536,"Cartel",16935,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"52",52,0.349999994039536,"Cartel",24499,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"53",53,0.349999994039536,"Cartel",20078,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"54",54,0.349999994039536,"Cartel",24144,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"55",55,0.349999994039536,"Cartel",26157,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"56",56,0.349999994039536,"Cartel",22055,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"57",57,0.349999994039536,"Cartel",21973,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"58",58,0.349999994039536,"Cartel",23794,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"59",59,0.349999994039536,"Cartel",23116,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"60",60,0.349999994039536,"Cartel",23578,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"61",61,0.349999994039536,"Cartel",21568,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"62",62,0.349999994039536,"Competition",17494,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"63",63,0.349999994039536,"Competition",16260,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"64",64,0.349999994039536,"Competition",26690,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"65",65,0.349999994039536,"Competition",21723,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"66",66,0.349999994039536,"Competition",30625,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"67",67,0.349999994039536,"Competition",36618,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"68",68,0.300000011920929,"Competition",42182,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"69",69,0.25,"Competition",47432,"0","0","0","0","1","0","0","0","0","0","0","0","Ice"
"70",70,0.300000011920929,"Cartel",43822,"0","0","0","0","1","0","0","0","0","0","0","0","Ice"
"71",71,0.300000011920929,"Cartel",36457,"0","0","0","0","1","0","0","0","0","0","0","0","Ice"
"72",72,0.300000011920929,"Cartel",29093,"0","0","0","0","1","0","0","0","0","0","0","0","Ice"
"73",73,0.300000011920929,"Cartel",21729,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"74",74,0.300000011920929,"Cartel",21265,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"75",75,0.300000011920929,"Cartel",18505,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"76",76,0.300000011920929,"Competition",14540,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"77",77,0.300000011920929,"Competition",19366,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"78",78,0.25,"Competition",55732,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"79",79,0.150000005960464,"Competition",42346,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"80",80,0.150000005960464,"Competition",28960,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"81",81,0.150000005960464,"Competition",30434,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"82",82,0.150000005960464,"Competition",26139,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"83",83,0.150000005960464,"Competition",31075,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"84",84,0.150000005960464,"Competition",29433,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"85",85,0.150000005960464,"Competition",29136,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"86",86,0.150000005960464,"Competition",31126,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"87",87,0.150000005960464,"Competition",35384,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"88",88,0.150000005960464,"Competition",36701,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"89",89,0.150000005960464,"Competition",37771,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"90",90,0.150000005960464,"Competition",38247,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"91",91,0.150000005960464,"Competition",39518,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"92",92,0.150000005960464,"Competition",30603,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"93",93,0.125,"Competition",28383,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"94",94,0.125,"Competition",24678,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"95",95,0.125,"Competition",27839,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"96",96,0.125,"Competition",26767,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"97",97,0.125,"Competition",24041,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"98",98,0.200000002980232,"Competition",23355,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"99",99,0.200000002980232,"Competition",26491,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"100",100,0.200000002980232,"Competition",20900,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"101",101,0.200000002980232,"Competition",26410,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"102",102,0.200000002980232,"Competition",26195,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"103",103,0.200000002980232,"Competition",22427,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"104",104,0.125,"Competition",27535,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"105",105,0.125,"Competition",25738,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"106",106,0.125,"Competition",23429,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"107",107,0.125,"Competition",32745,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"108",108,0.125,"Competition",37950,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"109",109,0.200000002980232,"Cartel",41466,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"110",110,0.200000002980232,"Cartel",49276,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"111",111,0.200000002980232,"Cartel",37850,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"112",112,0.200000002980232,"Cartel",32893,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"113",113,0.200000002980232,"Cartel",24410,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"114",114,0.200000002980232,"Cartel",15104,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"115",115,0.200000002980232,"Cartel",13819,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"116",116,0.25,"Cartel",22959,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"117",117,0.25,"Cartel",14486,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"118",118,0.25,"Cartel",15254,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"119",119,0.25,"Cartel",16607,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"120",120,0.25,"Cartel",17475,"0","0","0","1","0","0","0","0","0","0","0","0","Clear Shipping Lanes"
"121",121,0.25,"Cartel",12704,"0","0","0","0","1","0","0","0","0","0","0","0","Clear Shipping Lanes"
"122",122,0.25,"Cartel",14399,"0","0","0","0","1","0","0","0","0","0","0","0","Clear Shipping Lanes"
"123",123,0.25,"Cartel",12023,"0","0","0","0","1","0","0","0","0","0","0","0","Clear Shipping Lanes"
"124",124,0.25,"Cartel",9626,"0","0","0","0","1","0","0","0","0","0","0","0","Clear Shipping Lanes"
"125",125,0.25,"Cartel",6482,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"126",126,0.25,"Cartel",10520,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"127",127,0.25,"Cartel",12588,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"128",128,0.25,"Cartel",12468,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"129",129,0.25,"Cartel",10930,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"130",130,0.25,"Cartel",10997,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"131",131,0.25,"Cartel",8618,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"132",132,0.25,"Cartel",4810,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"133",133,0.25,"Cartel",5832,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"134",134,0.25,"Cartel",8536,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"135",135,0.25,"Cartel",11204,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"136",136,0.25,"Cartel",10591,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"137",137,0.25,"Cartel",9978,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"138",138,0.25,"Cartel",9374,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"139",139,0.25,"Cartel",19466,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"140",140,0.25,"Cartel",23085,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"141",141,0.25,"Cartel",18981,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"142",142,0.25,"Cartel",16595,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"143",143,0.25,"Cartel",13182,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"144",144,0.25,"Cartel",11626,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"145",145,0.25,"Cartel",12996,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"146",146,0.25,"Cartel",14852,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"147",147,0.25,"Cartel",11508,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"148",148,0.25,"Cartel",12996,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"149",149,0.25,"Cartel",17942,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"150",150,0.25,"Cartel",15498,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"151",151,0.25,"Cartel",18121,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"152",152,0.25,"Cartel",17914,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"153",153,0.300000011920929,"Cartel",21217,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"154",154,0.300000011920929,"Cartel",22418,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"155",155,0.300000011920929,"Cartel",26230,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"156",156,0.300000011920929,"Cartel",26458,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"157",157,0.300000011920929,"Cartel",36168,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"158",158,0.300000011920929,"Cartel",30721,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"159",159,0.300000011920929,"Cartel",41071,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"160",160,0.300000011920929,"Cartel",28865,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"161",161,0.300000011920929,"Cartel",29221,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"162",162,0.300000011920929,"Cartel",22245,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"163",163,0.300000011920929,"Cartel",20377,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"164",164,0.300000011920929,"Competition",36343,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"165",165,0.300000011920929,"Cartel",33227,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"166",166,0.300000011920929,"Cartel",33806,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"167",167,0.300000011920929,"Cartel",43998,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"168",168,0.300000011920929,"Cartel",45342,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"169",169,0.300000011920929,"Cartel",45659,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"170",170,0.300000011920929,"Cartel",30864,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"171",171,0.300000011920929,"Cartel",16522,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"172",172,0.300000011920929,"Cartel",20085,"0","0","0","1","0","0","0","0","0","0","0","0","Clear Shipping Lanes"
"173",173,0.25,"Competition",18262,"0","0","0","0","1","0","0","0","0","0","0","0","Clear Shipping Lanes"
"174",174,0.25,"Competition",19415,"0","0","0","0","1","0","0","0","0","0","0","0","Clear Shipping Lanes"
"175",175,0.25,"Cartel",22792,"0","0","0","0","1","0","0","0","0","0","0","0","Clear Shipping Lanes"
"176",176,0.25,"Cartel",23903,"0","0","0","0","1","0","0","0","0","0","0","0","Clear Shipping Lanes"
"177",177,0.25,"Cartel",14761,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"178",178,0.25,"Cartel",10901,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"179",179,0.25,"Cartel",14868,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"180",180,0.25,"Cartel",17271,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"181",181,0.25,"Cartel",16179,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"182",182,0.25,"Cartel",15576,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"183",183,0.25,"Cartel",12292,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"184",184,0.25,"Cartel",7627,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"185",185,0.25,"Cartel",9888,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"186",186,0.25,"Cartel",11080,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"187",187,0.25,"Cartel",13782,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"188",188,0.25,"Cartel",15181,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"189",189,0.25,"Cartel",11906,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"190",190,0.25,"Cartel",14763,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"191",191,0.25,"Cartel",22934,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"192",192,0.25,"Competition",23252,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"193",193,0.200000002980232,"Competition",25164,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"194",194,0.200000002980232,"Cartel",33879,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"195",195,0.25,"Cartel",32428,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"196",196,0.25,"Cartel",31256,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"197",197,0.25,"Cartel",27805,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"198",198,0.25,"Cartel",34663,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"199",199,0.25,"Cartel",30187,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"200",200,0.25,"Cartel",27277,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"201",201,0.25,"Cartel",29521,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"202",202,0.25,"Cartel",31280,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"203",203,0.25,"Cartel",30601,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"204",204,0.25,"Cartel",31553,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"205",205,0.300000011920929,"Cartel",42735,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"206",206,0.300000011920929,"Cartel",28241,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"207",207,0.300000011920929,"Cartel",29221,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"208",208,0.300000011920929,"Cartel",27894,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"209",209,0.300000011920929,"Cartel",21911,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"210",210,0.300000011920929,"Cartel",16685,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"211",211,0.200000002980232,"Cartel",23504,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"212",212,0.300000011920929,"Cartel",41210,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"213",213,0.300000011920929,"Cartel",35058,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"214",214,0.300000011920929,"Cartel",27065,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"215",215,0.300000011920929,"Competition",29404,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"216",216,0.300000011920929,"Competition",25269,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"217",217,0.300000011920929,"Competition",29219,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"218",218,0.300000011920929,"Competition",29291,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"219",219,0.300000011920929,"Competition",29217,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"220",220,0.300000011920929,"Competition",32643,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"221",221,0.200000002980232,"Competition",37902,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"222",222,0.150000005960464,"Competition",53282,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"223",223,0.150000005960464,"Competition",70793,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"224",224,0.150000005960464,"Competition",76407,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"225",225,0.150000005960464,"Competition",65944,"0","0","0","0","1","0","0","0","0","0","0","0","Ice"
"226",226,0.150000005960464,"Competition",51242,"0","0","0","0","1","0","0","0","0","0","0","0","Ice"
"227",227,0.150000005960464,"Competition",42464,"0","0","0","0","1","0","0","0","0","0","0","0","Clear Shipping Lanes"
"228",228,0.150000005960464,"Competition",36603,"0","0","0","0","1","0","0","0","0","0","0","0","Clear Shipping Lanes"
"229",229,0.150000005960464,"Competition",32376,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"230",230,0.150000005960464,"Competition",37927,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"231",231,0.150000005960464,"Competition",37905,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"232",232,0.150000005960464,"Competition",34782,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"233",233,0.150000005960464,"Competition",43146,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"234",234,0.150000005960464,"Cartel",38104,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"235",235,0.200000002980232,"Cartel",41901,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"236",236,0.200000002980232,"Cartel",25829,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"237",237,0.200000002980232,"Cartel",15480,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"238",238,0.200000002980232,"Cartel",18461,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"239",239,0.25,"Competition",20716,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"240",240,0.25,"Competition",14492,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"241",241,0.25,"Competition",13004,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"242",242,0.25,"Competition",16754,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"243",243,0.25,"Competition",23268,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"244",244,0.150000005960464,"Competition",18972,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"245",245,0.150000005960464,"Competition",15531,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"246",246,0.150000005960464,"Competition",17154,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"247",247,0.150000005960464,"Competition",23416,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"248",248,0.150000005960464,"Competition",26541,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"249",249,0.150000005960464,"Cartel",33592,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"250",250,0.25,"Cartel",36235,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"251",251,0.25,"Cartel",22372,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
